"LibraryName","SampleID","SRA_Accession","Amplicon","Site","Cultivar","Compartment","Replicate","Time","TreeID"
"1-VBS-PR-LE-5","C_Paulared_Leaf_5","SRR28147089","16S","C","Paulared","Leaf",5,"May","C_Paulared_5"
"1-VBS-PR-LE-5","C_Paulared_Leaf_5","SRR28148281","ITS","C","Paulared","Leaf",5,"May","C_Paulared_5"
"2-ASB-CL-LE-1","A_Cortland_Leaf_1","SRR28147122","16S","A","Cortland","Leaf",1,"July","A_Cortland_1"
"2-ASB-CL-LE-1","A_Cortland_Leaf_1","SRR28148279","ITS","A","Cortland","Leaf",1,"July","A_Cortland_1"
"2-ASB-CL-LE-2","A_Cortland_Leaf_2","SRR28147121","16S","A","Cortland","Leaf",2,"July","A_Cortland_2"
"2-ASB-CL-LE-2","A_Cortland_Leaf_2","SRR28148278","ITS","A","Cortland","Leaf",2,"July","A_Cortland_2"
"2-ASB-CL-LE-3","A_Cortland_Leaf_3","SRR28147120","16S","A","Cortland","Leaf",3,"July","A_Cortland_3"
"2-ASB-CL-LE-3","A_Cortland_Leaf_3","SRR28148277","ITS","A","Cortland","Leaf",3,"July","A_Cortland_3"
"2-ASB-CL-LE-4","A_Cortland_Leaf_4","SRR28147119","16S","A","Cortland","Leaf",4,"July","A_Cortland_4"
"2-ASB-CL-LE-4","A_Cortland_Leaf_4","SRR28148276","ITS","A","Cortland","Leaf",4,"July","A_Cortland_4"
"2-ASB-CL-LE-5","A_Cortland_Leaf_5","SRR28147118","16S","A","Cortland","Leaf",5,"July","A_Cortland_5"
"2-ASB-CL-LE-5","A_Cortland_Leaf_5","SRR28148275","ITS","A","Cortland","Leaf",5,"July","A_Cortland_5"
"2-ASB-LI-LE-1","A_Liberty_Leaf_1","SRR28147117","16S","A","Liberty","Leaf",1,"July","A_Liberty_1"
"2-ASB-LI-LE-1","A_Liberty_Leaf_1","SRR28148274","ITS","A","Liberty","Leaf",1,"July","A_Liberty_1"
"2-ASB-LI-LE-2","A_Liberty_Leaf_2","SRR28147116","16S","A","Liberty","Leaf",2,"July","A_Liberty_2"
"2-ASB-LI-LE-2","A_Liberty_Leaf_2","SRR28148273","ITS","A","Liberty","Leaf",2,"July","A_Liberty_2"
"2-ASB-LI-LE-3","A_Liberty_Leaf_3","SRR28147115","16S","A","Liberty","Leaf",3,"July","A_Liberty_3"
"2-ASB-LI-LE-3","A_Liberty_Leaf_3","SRR28148272","ITS","A","Liberty","Leaf",3,"July","A_Liberty_3"
"2-ASB-LI-LE-4","A_Liberty_Leaf_4","SRR28147114","16S","A","Liberty","Leaf",4,"July","A_Liberty_4"
"2-ASB-LI-LE-4","A_Liberty_Leaf_4","SRR28148271","ITS","A","Liberty","Leaf",4,"July","A_Liberty_4"
"2-ASB-LI-LE-5","A_Liberty_Leaf_5","SRR28147113","16S","A","Liberty","Leaf",5,"July","A_Liberty_5"
"2-ASB-LI-LE-5","A_Liberty_Leaf_5","SRR28148270","ITS","A","Liberty","Leaf",5,"July","A_Liberty_5"
"2-ASB-PR-LE-1","A_Paulared_Leaf_1","SRR28147242","16S","A","Paulared","Leaf",1,"July","A_Paulared_1"
"2-ASB-PR-LE-1","A_Paulared_Leaf_1","SRR28148446","ITS","A","Paulared","Leaf",1,"July","A_Paulared_1"
"2-ASB-PR-LE-2","A_Paulared_Leaf_2","SRR28147241","16S","A","Paulared","Leaf",2,"July","A_Paulared_2"
"2-ASB-PR-LE-2","A_Paulared_Leaf_2","SRR28148445","ITS","A","Paulared","Leaf",2,"July","A_Paulared_2"
"2-ASB-PR-LE-3","A_Paulared_Leaf_3","SRR28147240","16S","A","Paulared","Leaf",3,"July","A_Paulared_3"
"2-ASB-PR-LE-3","A_Paulared_Leaf_3","SRR28148444","ITS","A","Paulared","Leaf",3,"July","A_Paulared_3"
"2-ASB-PR-LE-4","A_Paulared_Leaf_4","SRR28147239","16S","A","Paulared","Leaf",4,"July","A_Paulared_4"
"2-ASB-PR-LE-4","A_Paulared_Leaf_4","SRR28148443","ITS","A","Paulared","Leaf",4,"July","A_Paulared_4"
"2-ASB-PR-LE-5","A_Paulared_Leaf_5","SRR28147238","16S","A","Paulared","Leaf",5,"July","A_Paulared_5"
